А,1176
Б,961
В,455
Г,732
Д,733
Е,108
Ж,338
З,650
И,349
К,1064
Л,701
М,629
Н,464
О,755
П,1302
Р,373
С,1206
Т,862
У,239
Ф,200
Х,283
Ц,229
Ч,235
Ш,255
Ё,2
Щ,111
Я,210
Й,4
Э,233
